Month,Sales,Fsales,Fpd1,Cpd1,Fpd2,Cpd2,Fpd3,Cpd3,
2011-01-01,5200,,,5300,,5300,,5300,1502
2011-02-01,5100,3698,5300,4979.6,5300,4659.2,5300,4338.8,
2011-03-01,5400,3598,4979.6,4703.28,4659.2,4234.72,4338.8,3894.32,
2011-04-01,5300,3898,4703.28,4542.224,4234.72,4100.032,3894.32,3896.528,
2011-05-01,5500,3798,4542.224,4393.3792,4100.032,3979.2192,3896.528,3837.4112,
2011-06-01,5400,3998,4393.3792,4314.30336,3979.2192,3986.73152,3837.4112,3933.76448,
2011-07-01,5600,3898,4314.30336,4231.042688,3986.73152,3951.238912,3933.76448,3912.305792,
2011-08-01,5900,4098,4231.042688,4204.43415,3951.238912,4009.943347,3912.305792,4023.722317,
2011-09-01,5400,4398,4204.43415,4243.14732,4009.943347,4165.166008,4023.722317,4248.288927,
2011-10-01,5600,3898,4243.14732,4174.117856,4165.166008,4058.299605,4248.288927,4038.115571,
2011-11-01,5400,4098,4174.117856,4158.894285,4058.299605,4074.179763,4038.115571,4074.046228,
2011-12-01,5800,3898,4158.894285,4106.715428,4074.179763,4003.707858,4074.046228,3968.418491,
